Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
P.ACUCAR-CBD,PCAR3,"Consumo Básico",1173004739.18,-1.32,0.52,-1.68,-0.3260,0.0972,-0.0431,0.2756,0.1430,0.4303,-0.1790,0.76,0.83
"PAR AL BAHIA",PEAB3,Imobiliário,,20.99,0.78,1.86,0.0372,-0.0240,0.2875,0.4073,-0.0616,-0.4083,-0.0876,0.73,3.34
PADTEC,PDTC3,"Tecnologia da Informação",126356705.34,16439.63,847.84,0.00,0.0001,-0.0049,0.0239,0.3584,99.2378,-0.7904,-0.7199,0.01,2.96
PANATLANTICA,PATI3,Materiais,837120272,10.48,1.13,3.34,0.1037,0.0411,0.0414,0.1095,0.0485,-0.1523,0.0607,-0.33,2.08
"PDG REALT",PDGR3,Imobiliário,7002345.18,-0.02,0.00,-99.62,0.0976,0.0097,-2.6143,0.4281,-0.3033,-0.4214,-0.0966,-9.24,0.27
COMPASS,PASS5,Utilities,,0.00,0.00,1.80,0.2376,0.0876,0.0773,0.2428,0.2529,0.0663,0.1280,2.94,1.50
ORIZON,ORVR3,Indústria,6313612887.28,114.07,4.76,0.63,0.0477,0.0461,0.0573,0.4620,0.4555,0.3301,0.2213,2.66,2.36
"OSX BRASIL",OSXB3,Imobiliário,5288703.84,-0.01,0.00,-275.33,0.0954,0.0039,-10.4861,1.0000,0.2607,-0.7821,0.5330,355.82,0.04
ODERICH,ODER4,"Consumo Básico",,14.94,1.92,6.69,0.1326,0.0572,0.0912,0.2881,0.1127,-0.0866,0.0750,2.92,3.30
"NORDON MET",NORD3,Indústria,15229417.8,-1.09,-0.07,-1.85,0.0872,0.0488,-4.5640,0.9284,-1.8926,1.5790,0.1115,-5.89,0.00
NUTRIPLANT,NUTR3,Materiais,28872792,20.81,0.59,0.11,0.0319,-0.0766,0.0066,0.1383,0.0018,-0.1604,0.2351,48.47,1.59
OCEANPACT,OPCT3,Indústria,1763643266.28,17.19,1.79,0.53,0.1097,0.1498,0.0494,0.2688,0.3030,,0.2713,2.12,2.59
ODONTOPREV,ODPV3,Financeiro,7248559798.08,12.58,5.72,1.07,0.4457,0.4023,0.2407,0.3620,0.3357,0.1004,0.0651,-0.36,0.80
OI,OIBR4,"Serviços de Comunicação",64789356.54,-0.22,-0.03,-5.58,0.1203,0.6269,-8.0894,-8.3011,-8.3786,0.7512,-0.4992,-5.26,0.59
ONCOCLINICAS,ONCO3,Saúde,1846675075.22,-0.62,2.11,-2.12,-1.1290,0.0550,-0.4738,0.3046,0.1239,,,5.97,1.12
"OUROFINO S/A",OFSA3,Saúde,1510572168,6.68,1.86,4.12,0.3173,0.2147,0.1815,0.5168,0.2323,0.1990,0.1090,0.84,3.55
IOCHP-MAXION,MYPK3,"Consumo Discricionário",1358881272.84,14.28,0.33,0.64,0.0230,0.0514,0.0064,0.1204,0.0974,-0.0449,0.1189,2.69,1.78
METISA,MTSA3,Indústria,607325808,16.42,1.46,4.63,0.0874,0.0461,0.0764,0.2253,0.0925,-0.0659,0.0769,-3.06,4.91
MULTIPLAN,MULT3,Imobiliário,15600176510.4,14.31,2.59,2.22,0.1904,0.1485,0.4166,0.8178,0.7654,0.0343,0.2042,2.23,1.25
